Function   Line   Status                              Info
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
s000       57     Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s111       78     Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s1111      98     Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s1112      140    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s1113      182    MissedDetails                       loop not vectorized
s1115      252    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s1119      347    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s112       120    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s113       162    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s114       206    MissedDetails                       loop not vectorized
s115       230    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s116       274    MissedDetails                       loop not vectorized
s1161      752    MissedDetails                       loop not vectorized
s118       301    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s119       325    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s121       371    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s1213      1006   MissedDetails                       loop not vectorized
s122       402    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s1221      1049   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: 4 , interleaved count: InterleaveCount: 1 )
s123       428    MissedDetails                       loop not vectorized
s1232      1141   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s124       457    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s1244      1335   MissedDetails                       loop not vectorized
s125       487    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: 8 , interleaved count: InterleaveCount: 2 )
s1251      1402   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s126       513    MissedDetails                       loop not vectorized
s127       540    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s1279      1948   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s128       568    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s1281      2087   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s131       593    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s13110     2582   MissedDetails                       loop not vectorized
s132       617    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s1351      2930   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s141       643    MissedDetails                       loop not vectorized
s1421      3043   Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s151       659    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s151s      659    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
s152       699    Vectorized                          vectorized loop (vectorization width: VectorizationFactor: vscale x 4 , interleaved count: InterleaveCount: 1 )
