Loop 	Time(sec) 	Checksum
 s000	  24.13141	512080000.000000
 s111	  13.25060	32000.410156
s1111	  39.24851	16005.822266
 s112	  37.86563	84617.781250
s1112	  36.17317	32001.644531
 s113	  48.23842	32000.644531
s1113	  24.86731	32001.644531
 s114	  30.90988	919.861389
 s115	  72.86395	31745.953125
s1115	  32.11513	0.065533
 s116	  63.97807	32000.000000
 s118	  24.84710	84488.507812
 s119	  20.38364	86338.992188
s1119	  20.12667	119099.882812
 s121	  37.36786	32009.031250
 s122	  12.87567	196490.921875
 s123	  17.21956	32003.287109
 s124	  30.15347	32001.644531
 s125	  13.60555	131072.000000
 s126	  19.04611	66954.960938
 s127	  23.77720	32003.287109
 s128	  22.68092	80000.000000
 s131	  62.29713	32009.031250
 s132	  45.28605	65538.562500
 s141	  27.78528	32487076.000000
 s151	  61.79300	32009.031250
 s152	  29.63236	152207.218750
 s161	  13.30298	64002.058594
s1161	  30.25179	64002.468750
 s162	  16.85487	32009.031250
 s171	  12.61251	196491.250000
 s172	  12.63066	196491.250000
 s173	  63.73112	32001.640625
 s174	  63.73073	32001.640625
 s175	  12.48212	32009.031250
 s176	  13.65429	32063.832031
 s211	  30.34821	63983.183594
 s212	  26.92915	132011.375000
s1213	  20.59297	132022.734375
 s221	  12.38968	1543685120.000000
s1221	  13.50503	630444416.000000
 s222	   4.01816	32000.000000
 s231	 171.20581	119099.882812
 s232	   5.06948	65536.000000
s1232	 146.42360	33958.011719
 s233	 517.03668	504912.625000
s2233	 185.08889	337652.906250
 s235	 346.58604	160023.968750
 s241	  60.80883	64000.000000
 s242	   5.36761	1535952000.000000
 s243	  38.68365	810624.937500
 s244	  28.15946	70102.429688
s1244	  40.84738	108496.445312
s2244	  22.69974	70102.890625
 s251	  98.04060	32004.371094
s1251	 111.33402	400005.968750
s2251	  29.26023	2.635709
s3251	  33.63539	12.595594
 s252	  20.11227	63999.000000
 s253	  40.77071	3200010240.000000
 s254	  96.33038	32000.000000
 s255	  28.09236	31968.515625
 s256	  17.83814	66207.703125
 s257	  22.84921	163072.000000
 s258	   0.33821	14.652790
 s261	  28.53081	260999.156250
 s271	 120.56619	689753.562500
 s272	  20.11998	64000.000000
 s273	  40.84422	99051.656250
 s274	  38.59151	3200195584.000000
 s275	  41.31163	65536.000000
s2275	 700.73371	65536.000000
 s276	  75.64154	689753.562500
 s277	  20.11806	32000.000000
 s278	  34.75871	64012.597656
 s279	  18.06772	64014.289062
s1279	  20.11871	64014.289062
s2710	  19.00844	96003.281250
s2711	 120.55375	689753.562500
s2712	 113.60479	289751.656250
 s281	  26.28379	32000.000000
s1281	 163.31787	inf
 s291	  40.15368	32000.000000
 s292	  32.10407	31968.515625
 s293	  32.13079	32000.000000
s2101	  14.93363	1704092.000000
s2102	  19.38159	256.000000
s2111	  27.23285	34545052.000000
 s311	  89.45520	10.950724
s31111	   8.89219	10.950724
 s312	  89.46380	1.030518
 s313	  53.58976	1.644725
 s314	  44.72980	1.000000
 s315	  23.49494	54857.000000
 s316	  44.72651	0.000031
 s317	  22.34868	0.000000
 s318	  17.29908	32002.000000
 s319	  64.94536	43.803417
s3110	  20.93673	514.000000
s13110	  20.98040	514.000000
s3111	   8.04903	10.950721
s3112	   9.69489	1.644725
s3113	  64.38785	2.000000
 s321	  11.67770	32000.000000
 s322	  11.41332	32000.000000
 s323	  16.67779	146484.968750
 s331	  22.14621	32000.000000
 s332	  22.11874	-1.000000
 s341	  26.11772	10.950724
 s342	  30.65736	10.950724
 s343	  17.18648	1567.833496
 s351	  63.14341	25600002048.000000
s1351	 101.33979	32010.253906
 s352	  88.59972	1.644841
 s353	  16.20578	3200002816.000000
 s421	  49.25223	32009.031250
s1421	  52.13001	16000.000000
 s422	  97.70923	257.701416
 s423	  87.52917	439.690308
 s424	  50.92538	822.360596
 s431	 126.42269	1674247.125000
 s441	  34.08243	196491.250000
 s442	  14.13853	114240.132812
 s443	  48.32848	361015.906250
 s451	  29.17865	32009.281250
 s452	  57.88847	32512.015625
 s453	  24.12764	21.901447
 s471	  17.48897	64004.933594
 s481	  33.08745	196491.250000
 s482	  31.66355	196491.250000
 s491	  24.19974	32001.644531
s4112	  16.45997	1127134.250000
s4113	  18.52750	32001.644531
s4114	  19.75427	32000.000000
s4115	  15.98733	1.038636
s4116	  11.30265	0.753265
s4117	  17.08784	32002.207031
s4121	  17.10113	196491.250000
   va	  26.77013	1.644884
  vag	  30.00214	1.644884
  vas	  26.58571	1.644885
  vif	  22.65613	1.644884
  vpv	 126.12703	1642411.250000
  vtv	 126.13458	32000.000000
vpvtv	  68.37580	689753.562500
vpvts	  14.21912	175255268098048.000000
vpvpv	  82.05748	1.644884
vtvtv	  83.75524	32000.000000
vsumr	  89.46402	10.950721
vdotr	 107.18309	1.644725
 vbor	   7.38729	31924.050781
