Loop 	Time(sec) 	Checksum
 s000	   4.99677	512080000.000000
 s111	  10.64160	32000.410156
s1111	   9.60826	16005.822266
 s112	  11.63731	84617.781250
s1112	   7.29173	32001.644531
 s113	   9.91913	32000.644531
s1113	  24.75100	32001.644531
 s114	  29.47682	919.861389
 s115	  22.01523	31745.953125
s1115	 102.71160	0.065533
 s116	  66.25610	32000.000000
 s118	  39.93468	85209.921875
 s119	  27.70195	86338.992188
s1119	   5.49142	119099.882812
 s121	  12.63695	32009.031250
 s122	   5.92645	196490.921875
 s123	  17.14763	32003.287109
 s124	   6.54549	32001.644531
 s125	   8.53824	131072.000000
 s126	  20.13867	66954.960938
 s127	   9.88629	32003.287109
 s128	  12.50281	80000.000000
 s131	  21.05954	32009.031250
 s132	   7.90427	65538.562500
 s141	  27.87149	32487076.000000
 s151	  21.05138	32009.031250
 s152	   7.35537	152207.218750
 s161	  14.44350	64002.058594
s1161	  30.22131	64002.468750
 s162	   5.53463	32009.031250
 s171	   4.07020	196491.250000
 s172	   4.02808	196491.250000
 s173	  18.20528	32001.640625
 s174	  18.22545	32001.640625
 s175	   4.21568	32009.031250
 s176	   3.93023	32063.832031
 s211	  25.65819	63983.183594
 s212	  26.76647	132011.375000
s1213	  19.63477	132022.734375
 s221	  11.95442	1543685120.000000
s1221	   4.30975	630444416.000000
 s222	   4.01938	32000.000000
 s231	 187.62047	119099.882812
 s232	   5.19483	65536.000000
s1232	 214.52390	33958.011719
 s233	 723.68120	504912.625000
s2233	 194.87030	337652.906250
 s235	 386.34335	160023.968750
 s241	  60.35886	64000.000000
 s242	   5.37696	1535952000.000000
 s243	  14.23360	810624.937500
 s244	  28.27957	70102.429688
s1244	  40.71347	108496.445312
s2244	   6.23482	70102.890625
 s251	  24.09035	32004.371094
s1251	  56.95296	400005.968750
s2251	  27.61238	2.635709
s3251	  21.43204	12.595594
 s252	   4.35032	63999.000000
 s253	   8.16385	3200010240.000000
 s254	  13.25908	32000.000000
 s255	   4.52398	31968.515625
 s256	  20.79866	66207.703125
 s257	  33.79391	163072.000000
 s258	   0.33822	14.652790
 s261	  33.51366	260999.156250
 s271	  25.08740	689753.562500
 s272	   7.63128	64000.000000
 s273	   8.43649	99051.656250
 s274	   8.65224	3200195584.000000
 s275	  50.56988	65536.000000
s2275	 935.32683	65536.000000
 s276	  45.25375	689753.562500
 s277	  20.11897	32000.000000
 s278	  14.94871	64012.597656
 s279	  10.63621	64014.289062
s1279	   7.79962	64014.289062
s2710	   5.89445	96003.281250
s2711	  25.06883	689753.562500
s2712	  24.46627	289751.656250
 s281	  26.26087	32000.000000
s1281	  56.14239	inf
 s291	  40.15188	32000.000000
 s292	  32.10758	31968.515625
 s293	   3.47297	32000.000000
s2101	  13.04766	1704092.000000
s2102	  19.08838	256.000000
s2111	  27.23186	34545052.000000
 s311	  16.53891	10.950724
s31111	   8.89050	10.950724
 s312	  20.58935	1.030928
 s313	  15.69384	1.644884
 s314	   8.27154	1.000000
 s315	  23.44646	54857.000000
 s316	   9.58715	0.000031
 s317	   2.51559	0.000000
 s318	  17.25625	32002.000000
 s319	  15.68990	43.802910
s3110	  21.03492	514.000000
s13110	  20.99442	514.000000
s3111	   0.87969	10.950724
s3112	   9.67592	1.644725
s3113	   7.03668	2.000000
 s321	  11.96668	32000.000000
 s322	  11.43136	32000.000000
 s323	  15.71850	146484.968750
 s331	   3.34528	32000.000000
 s332	   2.55647	-1.000000
 s341	  26.12242	10.950724
 s342	  30.63070	10.950724
 s343	  18.93351	1567.833496
 s351	  66.47677	25600002048.000000
s1351	  33.50088	32010.253906
 s352	  55.71310	1.644878
 s353	  13.89777	3200002816.000000
 s421	  18.28096	32009.031250
s1421	  14.42363	16000.000000
 s422	  36.92953	257.701416
 s423	  18.30083	439.690308
 s424	  17.71904	822.360596
 s431	  40.60267	1674247.125000
 s441	  13.24184	196491.250000
 s442	   8.63762	114240.132812
 s443	  12.87227	361015.906250
 s451	  29.62956	32009.281250
 s452	  18.67866	32512.015625
 s453	   4.71104	21.901447
 s471	   5.70517	64004.933594
 s481	  33.03476	196491.250000
 s482	  31.72895	196491.250000
 s491	  13.82363	32001.644531
s4112	   8.61386	1127134.250000
s4113	  12.47740	32001.644531
s4114	   9.23591	32000.000000
s4115	   7.87314	1.038800
s4116	   4.72214	0.753265
s4117	   8.92063	32002.207031
s4121	   5.45638	196491.250000
   va	  25.70176	1.644884
  vag	  12.04385	1.644884
  vas	  12.40834	1.644885
  vif	   3.12944	1.644884
  vpv	  40.62043	1642411.250000
  vtv	  40.61222	32000.000000
vpvtv	  21.85567	689753.562500
vpvts	   4.02262	175255268098048.000000
vpvpv	  22.13375	1.644884
vtvtv	  22.17283	32000.000000
vsumr	  16.54196	10.950724
vdotr	  31.37715	1.644884
 vbor	   0.83166	31924.050781
