Loop 	Time(sec) 	Checksum
 s000	   5.29414	512080000.000000
 s111	  10.72991	32000.410156
s1111	   9.74563	16005.822266
 s112	  11.85982	84617.781250
s1112	   7.37556	32001.644531
 s113	   9.92167	32000.644531
s1113	  24.81853	32001.644531
 s114	  28.21319	919.861389
 s115	  22.43289	31745.953125
s1115	 110.40998	0.065533
 s116	  64.81982	32000.000000
 s118	  39.58304	85209.921875
 s119	  17.57933	86338.992188
s1119	   9.11607	119099.882812
 s121	  12.60463	32009.031250
 s122	   5.72117	196490.921875
 s123	  16.96574	32003.287109
 s124	   7.19126	32001.644531
 s125	  10.58535	131072.000000
 s126	  19.07933	66954.960938
 s127	  10.11568	32003.287109
 s128	  12.26298	80000.000000
 s131	  21.00894	32009.031250
 s132	   7.72060	65538.562500
 s141	  27.94169	32487076.000000
 s151	  21.00635	32009.031250
 s152	   7.38320	152207.218750
 s161	  14.17676	64002.058594
s1161	  30.21540	64002.468750
 s162	   5.54571	32009.031250
 s171	   3.96036	196491.250000
 s172	   3.92444	196491.250000
 s173	  19.00256	32001.640625
 s174	  18.92068	32001.640625
 s175	   4.19943	32009.031250
 s176	   3.80602	32063.832031
 s211	  25.52716	63983.183594
 s212	  26.90114	132011.375000
s1213	  19.97226	132022.734375
 s221	  12.15033	1543685120.000000
s1221	   4.24824	630444416.000000
 s222	   4.01576	32000.000000
 s231	 199.23529	119099.882812
 s232	   5.09341	65536.000000
s1232	 218.31094	33958.011719
 s233	 776.07394	504912.625000
s2233	 184.20173	337652.906250
 s235	 419.67845	160023.968750
 s241	  60.28804	64000.000000
 s242	   5.36203	1535952000.000000
 s243	  14.44547	810624.937500
 s244	  28.07125	70102.429688
s1244	  40.94023	108496.445312
s2244	   7.15696	70102.890625
 s251	  25.11450	32004.371094
s1251	  57.48022	400005.968750
s2251	  28.02556	2.635709
s3251	  23.10632	12.595594
 s252	   4.20345	63999.000000
 s253	   9.09451	3200010240.000000
 s254	  12.86109	32000.000000
 s255	   4.52379	31968.515625
 s256	  22.22809	66207.703125
 s257	  21.47585	163072.000000
 s258	   0.33819	14.652790
 s261	  42.29392	260999.156250
 s271	  24.91030	689753.562500
 s272	   7.71460	64000.000000
 s273	   9.03136	99051.656250
 s274	   8.66518	3200195584.000000
 s275	  65.85506	65536.000000
s2275	 896.95410	65536.000000
 s276	  47.23641	689753.562500
 s277	  20.11803	32000.000000
 s278	  14.97937	64012.597656
 s279	  10.52135	64014.289062
s1279	   7.77579	64014.289062
s2710	   5.80295	96003.281250
s2711	  24.91669	689753.562500
s2712	  24.43092	289751.656250
 s281	  26.18048	32000.000000
s1281	  57.26002	inf
 s291	   6.18358	32000.000000
 s292	   3.58802	31968.515625
 s293	   4.07473	32000.000000
s2101	  13.91512	1704092.000000
s2102	  19.05580	256.000000
s2111	  27.22377	34545052.000000
 s311	  16.65329	10.950724
s31111	   8.89790	10.950724
 s312	  20.55746	1.030928
 s313	  15.57686	1.644884
 s314	   8.32146	1.000000
 s315	  23.47042	54857.000000
 s316	   9.44261	0.000031
 s317	   2.51545	0.000000
 s318	  17.27642	32002.000000
 s319	  16.83833	43.802910
s3110	  20.93471	514.000000
s13110	  20.97865	514.000000
s3111	   0.87418	10.950724
s3112	   9.69834	1.644725
s3113	   6.99458	2.000000
 s321	  11.71727	32000.000000
 s322	  11.42666	32000.000000
 s323	  20.91490	146484.968750
 s331	   3.34228	32000.000000
 s332	   2.66521	-1.000000
 s341	  26.11604	10.950724
 s342	  30.64745	10.950724
 s343	  23.17500	1567.833496
 s351	  66.57788	25600002048.000000
s1351	  34.15051	32010.253906
 s352	  55.60904	1.644878
 s353	  13.94312	3200002816.000000
 s421	  18.57183	32009.031250
s1421	  17.07469	16000.000000
 s422	  37.74530	257.701416
 s423	  18.09251	439.690308
 s424	  20.94636	822.360596
 s431	  39.07788	1674247.125000
 s441	  13.22186	196491.250000
 s442	   8.46716	114240.132812
 s443	  13.11569	361015.906250
 s451	  29.64020	32009.281250
 s452	  18.77834	32512.015625
 s453	   5.07113	21.901447
 s471	   9.34667	64004.933594
 s481	  33.12058	196491.250000
 s482	  31.67105	196491.250000
 s491	  12.36987	32001.644531
s4112	   8.64499	1127134.250000
s4113	  12.41802	32001.644531
s4114	   9.52512	32000.000000
s4115	   7.94090	1.038800
s4116	   4.72114	0.753265
s4117	   8.89397	32002.207031
s4121	   5.43949	196491.250000
   va	  25.13680	1.644884
  vag	  11.97834	1.644884
  vas	  12.23660	1.644885
  vif	   2.68940	1.644884
  vpv	  39.62609	1642411.250000
  vtv	  39.61012	32000.000000
vpvtv	  21.76331	689753.562500
vpvts	   3.95661	175255268098048.000000
vpvpv	  22.09806	1.644884
vtvtv	  22.20471	32000.000000
vsumr	  16.65908	10.950724
vdotr	  31.15358	1.644884
 vbor	   0.83247	31924.050781
