Loop	Speedup
s000	4.83
s111	1.25
s1111	4.08
s112	3.25
s1112	4.96
s113	4.86
s1113	1.0
s114	1.05
s115	3.31
s1115	0.31
s116	0.97
s118	0.62
s119	0.74
s1119	3.67
s121	2.96
s122	2.17
s123	1.0
s124	4.61
s125	1.59
s126	0.95
s127	2.41
s128	1.81
s131	2.96
s132	5.73
s141	1.0
s151	2.94
s152	4.03
s161	0.92
s1161	1.0
s162	3.05
s171	3.1
s172	3.14
s173	3.5
s174	3.5
s175	2.96
s176	3.47
s211	1.18
s212	1.01
s1213	1.05
s221	1.04
s1221	3.13
s222	1.0
s231	0.91
s232	0.98
s1232	0.68
s233	0.71
s2233	0.95
s235	0.9
s241	1.01
s242	1.0
s243	2.72
s244	1.0
s1244	1.0
s2244	3.64
s251	4.07
s1251	1.95
s2251	1.06
s3251	1.57
s252	4.62
s253	4.99
s254	7.27
s255	6.21
s256	0.86
s257	0.68
s258	1.0
s261	0.85
s271	4.81
s272	2.64
s273	4.84
s274	4.46
s275	0.82
s2275	0.75
s276	1.67
s277	1.0
s278	2.33
s279	1.7
s1279	2.58
s2710	3.22
s2711	4.81
s2712	4.64
s281	1.0
s1281	2.91
s291	1.0
s292	1.0
s293	9.25
s2101	1.14
s2102	1.02
s2111	1.0
s311	5.41
s31111	1.0
s312	4.35
s313	3.41
s314	5.41
s315	1.0
s316	4.67
s317	8.88
s318	1.0
s319	4.14
s3110	1.0
s13110	1.0
s3111	9.15
s3112	1.0
s3113	9.15
s321	0.98
s322	1.0
s323	1.06
s331	6.62
s332	8.65
s341	1.0
s342	1.0
s343	0.91
s351	0.95
s1351	3.02
s352	1.59
s353	1.17
s421	2.69
s1421	3.61
s422	2.65
s423	4.78
s424	2.87
s431	3.11
s441	2.57
s442	1.64
s443	3.75
s451	0.98
s452	3.1
s453	5.12
s471	3.07
s481	1.0
s482	1.0
s491	1.75
s4112	1.91
s4113	1.48
s4114	2.14
s4115	2.03
s4116	2.39
s4117	1.92
s4121	3.13
va	1.04
vag	2.49
vas	2.14
vif	7.24
vpv	3.11
vtv	3.11
vpvtv	3.13
vpvts	3.53
vpvpv	3.71
vtvtv	3.78
vsumr	5.41
vdotr	3.42
vbor	8.88
