Loop	Speedup
s000	4.56
s111	1.23
s1111	4.03
s112	3.19
s1112	4.9
s113	4.86
s1113	1.0
s114	1.1
s115	3.25
s1115	0.29
s116	0.99
s118	0.63
s119	1.16
s1119	2.21
s121	2.96
s122	2.25
s123	1.01
s124	4.19
s125	1.29
s126	1.0
s127	2.35
s128	1.85
s131	2.97
s132	5.87
s141	0.99
s151	2.94
s152	4.01
s161	0.94
s1161	1.0
s162	3.04
s171	3.18
s172	3.22
s173	3.35
s174	3.37
s175	2.97
s176	3.59
s211	1.19
s212	1.0
s1213	1.03
s221	1.02
s1221	3.18
s222	1.0
s231	0.86
s232	1.0
s1232	0.67
s233	0.67
s2233	1.0
s235	0.83
s241	1.01
s242	1.0
s243	2.68
s244	1.0
s1244	1.0
s2244	3.17
s251	3.9
s1251	1.94
s2251	1.04
s3251	1.46
s252	4.78
s253	4.48
s254	7.49
s255	6.21
s256	0.8
s257	1.06
s258	1.0
s261	0.67
s271	4.84
s272	2.61
s273	4.52
s274	4.45
s275	0.63
s2275	0.78
s276	1.6
s277	1.0
s278	2.32
s279	1.72
s1279	2.59
s2710	3.28
s2711	4.84
s2712	4.65
s281	1.0
s1281	2.85
s291	6.49
s292	8.95
s293	7.89
s2101	1.07
s2102	1.02
s2111	1.0
s311	5.37
s31111	1.0
s312	4.35
s313	3.44
s314	5.38
s315	1.0
s316	4.74
s317	8.88
s318	1.0
s319	3.86
s3110	1.0
s13110	1.0
s3111	9.21
s3112	1.0
s3113	9.21
s321	1.0
s322	1.0
s323	0.8
s331	6.63
s332	8.3
s341	1.0
s342	1.0
s343	0.74
s351	0.95
s1351	2.97
s352	1.59
s353	1.16
s421	2.65
s1421	3.05
s422	2.59
s423	4.84
s424	2.43
s431	3.24
s441	2.58
s442	1.67
s443	3.68
s451	0.98
s452	3.08
s453	4.76
s471	1.87
s481	1.0
s482	1.0
s491	1.96
s4112	1.9
s4113	1.49
s4114	2.07
s4115	2.01
s4116	2.39
s4117	1.92
s4121	3.14
va	1.06
vag	2.5
vas	2.17
vif	8.42
vpv	3.18
vtv	3.18
vpvtv	3.14
vpvts	3.59
vpvpv	3.71
vtvtv	3.77
vsumr	5.37
vdotr	3.44
vbor	8.87
