  Loop  Theoretical_S  Theoretical_S_w_plug  Clang  Clang_w_plug
  s000              4                     4   4.83          4.56
  s111              4                     4   1.25          1.23
 s1111              4                     4   4.08          4.03
  s112              4                     4   3.25          3.19
 s1112              4                     4   4.96          4.90
  s113              4                     4   4.86          4.86
 s1113              1                     1   1.00          1.00
  s114              1                     1   1.05          1.10
  s115              4                     4   3.31          3.25
 s1115              4                     4   0.31          0.29
  s116              1                     1   0.97          0.99
  s118              4                     4   0.62          0.63
  s119              4                     4   0.74          1.16
 s1119              4                     4   3.67          2.21
  s121              4                     4   2.96          2.96
  s122              4                     4   2.17          2.25
  s123              1                     1   1.00          1.01
  s124              4                     4   4.61          4.19
  s125              8                     8   1.59          1.29
  s126              1                     1   0.95          1.00
  s127              4                     4   2.41          2.35
  s128              4                     4   1.81          1.85
  s131              4                     4   2.96          2.97
  s132              4                     4   5.73          5.87
  s141              1                     1   1.00          0.99
  s151              4                     4   2.94          2.94
  s152              4                     4   4.03          4.01
  s161              1                     1   0.92          0.94
 s1161              1                     1   1.00          1.00
  s162              4                     4   3.05          3.04
  s171              4                     4   3.10          3.18
  s172              4                     4   3.14          3.22
  s173              4                     4   3.50          3.35
  s174              4                     4   3.50          3.37
  s175              4                     4   2.96          2.97
  s176              4                     4   3.47          3.59
  s211              1                     1   1.18          1.19
  s212              1                     1   1.01          1.00
 s1213              1                     1   1.05          1.03
  s221              1                     1   1.04          1.02
 s1221              4                     4   3.13          3.18
  s222              1                     1   1.00          1.00
  s231              1                     1   0.91          0.86
  s232              1                     1   0.98          1.00
 s1232              4                     4   0.68          0.67
  s233              1                     1   0.71          0.67
 s2233              1                     1   0.95          1.00
  s235              1                     1   0.90          0.83
  s241              1                     1   1.01          1.01
  s242              1                     1   1.00          1.00
  s243              4                     4   2.72          2.68
  s244              1                     1   1.00          1.00
 s1244              1                     1   1.00          1.00
 s2244              4                     4   3.64          3.17
  s251              4                     4   4.07          3.90
 s1251              4                     4   1.95          1.94
 s2251              1                     1   1.06          1.04
 s3251              4                     4   1.57          1.46
  s252              4                     4   4.62          4.78
  s253              4                     4   4.99          4.48
  s254              4                     4   7.27          7.49
  s255              4                     4   6.21          6.21
  s256              1                     1   0.86          0.80
  s257              4                     4   0.68          1.06
  s258              1                     1   1.00          1.00
  s261              1                     1   0.85          0.67
  s271              4                     4   4.81          4.84
  s272              4                     4   2.64          2.61
  s273              4                     4   4.84          4.52
  s274              4                     4   4.46          4.45
  s275              1                     1   0.82          0.63
 s2275              4                     4   0.75          0.78
  s276              4                     4   1.67          1.60
  s277              1                     1   1.00          1.00
  s278              4                     4   2.33          2.32
  s279              4                     4   1.70          1.72
 s1279              4                     4   2.58          2.59
 s2710              4                     4   3.22          3.28
 s2711              4                     4   4.81          4.84
 s2712              4                     4   4.64          4.65
  s281              1                     1   1.00          1.00
 s1281              4                     4   2.91          2.85
  s291              1                     4   1.00          6.49
  s292              1                     4   1.00          8.95
  s293              4                     4   9.25          7.89
 s2101              4                     4   1.14          1.07
 s2102              4                     4   1.02          1.02
 s2111              1                     1   1.00          1.00
  s311              4                     4   5.41          5.37
s31111              1                     1   1.00          1.00
  s312              8                     8   4.35          4.35
  s313              4                     4   3.41          3.44
  s314              4                     4   5.41          5.38
  s315              1                     1   1.00          1.00
  s316              4                     4   4.67          4.74
  s317              8                     8   8.88          8.88
  s318              1                     1   1.00          1.00
  s319              4                     4   4.14          3.86
 s3110              1                     1   1.00          1.00
s13110              1                     1   1.00          1.00
 s3111              4                     4   9.15          9.21
 s3112              1                     1   1.00          1.00
 s3113              4                     4   9.15          9.21
  s321              1                     1   0.98          1.00
  s322              1                     1   1.00          1.00
  s323              1                     1   1.06          0.80
  s331              8                     8   6.62          6.63
  s332              4                     4   8.65          8.30
  s341              1                     1   1.00          1.00
  s342              1                     1   1.00          1.00
  s343              1                     1   0.91          0.74
  s351              2                     2   0.95          0.95
 s1351              4                     4   3.02          2.97
  s352              2                     2   1.59          1.59
  s353              2                     2   1.17          1.16
  s421              4                     4   2.69          2.65
 s1421              4                     4   3.61          3.05
  s422              4                     4   2.65          2.59
  s423              4                     4   4.78          4.84
  s424              4                     4   2.87          2.43
  s431              4                     4   3.11          3.24
  s441              4                     4   2.57          2.58
  s442              4                     4   1.64          1.67
  s443              4                     4   3.75          3.68
  s451              1                     1   0.98          0.98
  s452              4                     4   3.10          3.08
  s453              4                     4   5.12          4.76
  s471              4                     4   3.07          1.87
  s481              1                     1   1.00          1.00
  s482              1                     1   1.00          1.00
  s491              4                     4   1.75          1.96
 s4112              4                     4   1.91          1.90
 s4113              4                     4   1.48          1.49
 s4114              4                     4   2.14          2.07
 s4115              4                     4   2.03          2.01
 s4116              4                     4   2.39          2.39
 s4117              4                     4   1.92          1.92
 s4121              4                     4   3.13          3.14
    va              1                     1   1.04          1.06
   vag              4                     4   2.49          2.50
   vas              4                     4   2.14          2.17
   vif              4                     4   7.24          8.42
   vpv              4                     4   3.11          3.18
   vtv              4                     4   3.11          3.18
 vpvtv              4                     4   3.13          3.14
 vpvts              4                     4   3.53          3.59
 vpvpv              4                     4   3.71          3.71
 vtvtv              4                     4   3.78          3.77
 vsumr              4                     4   5.41          5.37
 vdotr              4                     4   3.42          3.44
  vbor              4                     4   8.88          8.87
